fecha_vigencia,lista_id,planta,valor
06.06.2026,COMB-36-2026,TALARA,19.2458
06.06.2026,COMB-36-2026,TARAPOTO,22.1545
06.06.2026,COMB-36-2026,YURIMAGUAS,15.6
07.04.2026,COMB-19-2026,CHIMBOTE,23.3168
07.04.2026,COMB-19-2026,CUSCO,26.5028
07.04.2026,COMB-19-2026,EL MILAGRO,24.7682
07.04.2026,COMB-19-2026,ETEN,24.4968
07.04.2026,COMB-19-2026,ILO,26.1724
07.04.2026,COMB-19-2026,IQUITOS,20.36
07.04.2026,COMB-19-2026,JULIACA,26.3966
07.04.2026,COMB-19-2026,LIMA,24.0248
07.04.2026,COMB-19-2026,MOLLENDO,26.2196
07.04.2026,COMB-19-2026,PISCO,24.6738
07.04.2026,COMB-19-2026,PIURA,22.4554
07.04.2026,COMB-19-2026,PTO. MALDONADO,22.3183
07.04.2026,COMB-19-2026,PUCALLPA,20.35
07.04.2026,COMB-19-2026,SALAVERRY,24.7564
07.04.2026,COMB-19-2026,SUPE,24.4732
07.04.2026,COMB-19-2026,TALARA,22.2548
07.04.2026,COMB-19-2026,TARAPOTO,25.1635
07.04.2026,COMB-19-2026,YURIMAGUAS,20.49
07.05.2026,COMB-27-2026,CHIMBOTE,20.3078
07.05.2026,COMB-27-2026,CUSCO,23.836
07.05.2026,COMB-27-2026,EL MILAGRO,23.7534
07.05.2026,COMB-27-2026,ETEN,23.2578
07.05.2026,COMB-27-2026,ILO,23.3994
07.05.2026,COMB-27-2026,IQUITOS,18.6
07.05.2026,COMB-27-2026,JULIACA,23.7298
07.05.2026,COMB-27-2026,LIMA,22.1958
07.05.2026,COMB-27-2026,MOLLENDO,23.5528
07.05.2026,COMB-27-2026,PISCO,23.4348
07.05.2026,COMB-27-2026,PIURA,21.4406
07.05.2026,COMB-27-2026,PTO. MALDONADO,20.0583
07.05.2026,COMB-27-2026,PUCALLPA,18.89
07.05.2026,COMB-27-2026,SALAVERRY,23.5174
07.05.2026,COMB-27-2026,SUPE,22.6442
07.05.2026,COMB-27-2026,TALARA,21.24
07.05.2026,COMB-27-2026,TARAPOTO,24.1487
07.05.2026,COMB-27-2026,YURIMAGUAS,17.69
07.07.2026,COMB-47-2026,CHIMBOTE,19.3638
07.07.2026,COMB-47-2026,CUSCO,20.8152
07.07.2026,COMB-47-2026,EL MILAGRO,19.3166
07.07.2026,COMB-47-2026,ETEN,18.9272
07.07.2026,COMB-47-2026,ILO,19.3048
07.07.2026,COMB-47-2026,IQUITOS,17.11
07.07.2026,COMB-47-2026,JULIACA,20.8742
07.07.2026,COMB-47-2026,LIMA,18.88
07.07.2026,COMB-47-2026,MOLLENDO,20.2488
07.07.2026,COMB-47-2026,PISCO,18.7502
07.07.2026,COMB-47-2026,PIURA,17.5584
07.07.2026,COMB-47-2026,PTO. MALDONADO,17.6783
07.07.2026,COMB-47-2026,PUCALLPA,16.22
07.07.2026,COMB-47-2026,SALAVERRY,19.175
07.07.2026,COMB-47-2026,SUPE,19.1042
07.07.2026,COMB-47-2026,TALARA,17.3578
07.07.2026,COMB-47-2026,TARAPOTO,19.6293
07.07.2026,COMB-47-2026,YURIMAGUAS,15.26
09.06.2026,COMB-37-2026,CHIMBOTE,19.8476
09.06.2026,COMB-37-2026,CUSCO,22.5026
09.06.2026,COMB-37-2026,EL MILAGRO,21.417
09.06.2026,COMB-37-2026,ETEN,19.8358
09.06.2026,COMB-37-2026,ILO,22.656
09.06.2026,COMB-37-2026,IQUITOS,16.52
09.06.2026,COMB-37-2026,JULIACA,22.3964
09.06.2026,COMB-37-2026,LIMA,19.3166
09.06.2026,COMB-37-2026,MOLLENDO,22.2194
09.06.2026,COMB-37-2026,PISCO,19.765
09.06.2026,COMB-37-2026,PIURA,19.1042
09.06.2026,COMB-37-2026,PTO. MALDONADO,19.0283
09.06.2026,COMB-37-2026,PUCALLPA,16.58
09.06.2026,COMB-37-2026,SALAVERRY,20.532
09.06.2026,COMB-37-2026,SUPE,19.7768
09.06.2026,COMB-37-2026,TALARA,18.9036
09.06.2026,COMB-37-2026,TARAPOTO,21.8123
09.06.2026,COMB-37-2026,YURIMAGUAS,15.31
10.02.2026,COMB-07-2026,CHIMBOTE,13.2396
10.02.2026,COMB-07-2026,CUSCO,14.7736
10.02.2026,COMB-07-2026,EL MILAGRO,14.691
10.02.2026,COMB-07-2026,ETEN,13.8414
10.02.2026,COMB-07-2026,ILO,14.337
10.02.2026,COMB-07-2026,IQUITOS,12.12
10.02.2026,COMB-07-2026,JULIACA,14.6674
10.02.2026,COMB-07-2026,LIMA,13.6054
10.02.2026,COMB-07-2026,MOLLENDO,14.4904
10.02.2026,COMB-07-2026,PISCO,14.2544
10.02.2026,COMB-07-2026,PIURA,12.3782
10.02.2026,COMB-07-2026,PTO. MALDONADO,12.3783
10.02.2026,COMB-07-2026,PUCALLPA,12.11
10.02.2026,COMB-07-2026,SALAVERRY,14.101
10.02.2026,COMB-07-2026,SUPE,14.0538
10.02.2026,COMB-07-2026,TALARA,12.1776
10.02.2026,COMB-07-2026,TARAPOTO,15.0863
10.02.2026,COMB-07-2026,YURIMAGUAS,12.54
10.03.2026,COMB-14-2026,CHIMBOTE,17.405
10.03.2026,COMB-14-2026,CUSCO,18.939
10.03.2026,COMB-14-2026,EL MILAGRO,18.8564
10.03.2026,COMB-14-2026,ETEN,18.0068
10.03.2026,COMB-14-2026,ILO,18.5024
10.03.2026,COMB-14-2026,IQUITOS,15.65
10.03.2026,COMB-14-2026,JULIACA,18.8328
10.03.2026,COMB-14-2026,LIMA,17.7708
10.03.2026,COMB-14-2026,MOLLENDO,18.6558
10.03.2026,COMB-14-2026,PISCO,18.4198
10.03.2026,COMB-14-2026,PIURA,16.5436
10.03.2026,COMB-14-2026,PTO. MALDONADO,15.9083
10.03.2026,COMB-14-2026,PUCALLPA,15.64
10.03.2026,COMB-14-2026,SALAVERRY,18.2664
10.03.2026,COMB-14-2026,SUPE,18.2192
10.03.2026,COMB-14-2026,TALARA,16.343
10.03.2026,COMB-14-2026,TARAPOTO,19.2517
10.03.2026,COMB-14-2026,YURIMAGUAS,16.07
10.04.2026,COMB-20-2026,CHIMBOTE,23.3168
10.04.2026,COMB-20-2026,CUSCO,26.5028
10.04.2026,COMB-20-2026,EL MILAGRO,24.7682
10.04.2026,COMB-20-2026,ETEN,24.4968
10.04.2026,COMB-20-2026,ILO,26.1724
10.04.2026,COMB-20-2026,IQUITOS,18.86
10.04.2026,COMB-20-2026,JULIACA,26.3966
10.04.2026,COMB-20-2026,LIMA,22.2548
10.04.2026,COMB-20-2026,MOLLENDO,26.2196
10.04.2026,COMB-20-2026,PISCO,24.6738
10.04.2026,COMB-20-2026,PIURA,22.4554
10.04.2026,COMB-20-2026,PTO. MALDONADO,22.3183
10.04.2026,COMB-20-2026,PUCALLPA,18.85
10.04.2026,COMB-20-2026,SALAVERRY,24.7564
10.04.2026,COMB-20-2026,SUPE,22.7032
10.04.2026,COMB-20-2026,TALARA,22.2548
10.04.2026,COMB-20-2026,TARAPOTO,25.1635
10.04.2026,COMB-20-2026,YURIMAGUAS,18.99
10.06.2026,COMB-38-2026,CHIMBOTE,19.8476
10.06.2026,COMB-38-2026,CUSCO,21.9126
10.06.2026,COMB-38-2026,EL MILAGRO,21.417
10.06.2026,COMB-38-2026,ETEN,19.8358
10.06.2026,COMB-38-2026,ILO,22.066
10.06.2026,COMB-38-2026,IQUITOS,16.52
10.06.2026,COMB-38-2026,JULIACA,21.8064
10.06.2026,COMB-38-2026,LIMA,19.3166
10.06.2026,COMB-38-2026,MOLLENDO,21.6294
10.06.2026,COMB-38-2026,PISCO,19.765
10.06.2026,COMB-38-2026,PIURA,19.1042
10.06.2026,COMB-38-2026,PTO. MALDONADO,18.5283
10.06.2026,COMB-38-2026,PUCALLPA,16.58
10.06.2026,COMB-38-2026,SALAVERRY,20.532
10.06.2026,COMB-38-2026,SUPE,19.7768
10.06.2026,COMB-38-2026,TALARA,18.9036
10.06.2026,COMB-38-2026,TARAPOTO,21.8123
10.06.2026,COMB-38-2026,YURIMAGUAS,15.31
10.07.2026,COMB-48-2026,CHIMBOTE,19.3638
10.07.2026,COMB-48-2026,CUSCO,21.0512
10.07.2026,COMB-48-2026,EL MILAGRO,21.0866
10.07.2026,COMB-48-2026,ETEN,18.9272
10.07.2026,COMB-48-2026,ILO,19.8948
10.07.2026,COMB-48-2026,IQUITOS,17.61
10.07.2026,COMB-48-2026,JULIACA,21.1102
